L-5,209
L-1,165
L-25,142
L-33,129
L-3,49
L-47,29
L-26,28
L-27,16
L-13,15
L-8,15
L-42,14
L-29,12
L-56,10
L-68,9
L-16,9
L-67,8
L-65,8
L-44,7
L-75,7
L-4,7
L-46,6
L-48,5
L-43,5
L-78,5
L-21,5
L-73,5
L-71,5
L-24,5
L-2,4
L-30,4
L-55,4
L-23,3
L-49,3
L-66,3
L-9,3
L-39,3
L-22,2
L-53,2
L-77,2
L-36,2
L-37,2
L-74,2
L-28,2
L-54,2
L-50,2
L-40,2
L-45,2
L-20,2
L-72,2
L-6,2
L-64,2
L-57,1
L-7,1
L-17,1
L-14,1
L-31,1
L-34,1
L-61,1
L-62,1
L-10,1
L-69,1
L-15,1
L-38,1
L-18,1
L-41,1
L-35,1
L-19,1
L-58,1
L-11,1
L-70,1
L-32,1
L-12,1
L-52,1
L-76,1
L-51,1
