IRD-271,spegazzinii,1
IRD-272,nigrum,1
IRD-273,baccatum,1
IRD-274,tuberosum,1
IRD-275,lycopersicum,1
IRD-276,lycopersicum,1
IRD-277,americanum,1
IRD-278,chacoense,1
IRD-278,tuberosum,1
IRD-279,tuberosum,1
IRD-28,annuum,1
IRD-280,annuum,1
IRD-281,baccatum,1
IRD-282,annuum,1
IRD-283,chinense,1
IRD-284,australis,1
IRD-285,lycopersicum,1
IRD-286,tuberosum,1
IRD-287,chinense,1
IRD-288,baccatum,1
IRD-289,annuum,1
IRD-29,baccatum,1
IRD-290,lycopersicum,1
IRD-291,lycopersicum,1
IRD-292,sylvestris,1
IRD-292,tabacum,1
IRD-293,attenuata,1
IRD-294,chinense,1
IRD-295,annuum,1
IRD-296,annuum,1
IRD-297,tuberosum,1
IRD-298,tuberosum,1
IRD-299,nigrum,1
IRD-3,nigrum,1
IRD-30,chinense,1
IRD-300,guttata,1
IRD-301,trichocarpa,1
IRD-302,esculenta,1
IRD-303,esculenta,1
IRD-304,communis,1
IRD-305,regia,1
IRD-306,curcas,1
IRD-307,thaliana,1
IRD-308,vinifera,1
IRD-309,shenzhenica,1
IRD-31,tuberosum,1
IRD-310,campestris,1
IRD-310,rapa,1
IRD-311,cretica,1
IRD-311,oleracea,1
IRD-312,rubella,1
IRD-313,sylvatica,1
IRD-314,lyrata,1
IRD-315,caerulescens,1
IRD-316,annuum,1
IRD-317,chinense,1
IRD-318,baccatum,1
IRD-319,chinense,1
IRD-32,lycopersicum,1
IRD-320,tuberosum,1
IRD-321,tabacum,1
IRD-322,tabacum,1
IRD-323,sylvestris,1
IRD-324,attenuata,1
IRD-325,dulcis,1
IRD-325,persica,1
IRD-327,granatum,1
IRD-329,aestivum,1
IRD-329,tauschii,1
IRD-329,urartu,1
IRD-33,tuberosum,1
IRD-330,catenatum,1
IRD-331,aestivum,1
IRD-331,turgidum,1
IRD-332,hallii,1
IRD-333,vulgare,1
IRD-334,oligosanthes,1
IRD-335,canephora,1
IRD-336,comosus,1
IRD-337,comosus,1
IRD-338,hallii,1
IRD-339,aurea,1
IRD-34,chacoense,1
IRD-340,tuberosum,1
IRD-341,tuberosum,1
IRD-342,tuberosum,1
IRD-343,baccatum,1
IRD-344,annuum,1
IRD-344,chinense,1
IRD-346,attenuata,1
IRD-346,sylvestris,1
IRD-346,tabacum,1
IRD-347,baccatum,1
IRD-347,chinense,1
IRD-348,annuum,1
IRD-348,baccatum,1
IRD-349,chinense,1
IRD-35,chinense,1
IRD-350,chinensis,1
IRD-351,moellendorffii,1
IRD-352,moellendorffii,1
IRD-353,chinensis,1
IRD-354,annuum,1
IRD-354,baccatum,1
IRD-354,chinense,1
IRD-355,chinensis,1
IRD-356,grandis,1
IRD-357,dulcis,1
IRD-357,persica,1
IRD-358,yedoensis,1
IRD-359,tabacum,1
IRD-36,chinense,1
IRD-360,attenuata,1
