Taxon,Mnemonic,Scientific name,Common name,Synonym,Other Names,Reviewed,Rank,Lineage,Parent,Virus hosts,Organism,Genus,Species,Solanaceae
65489,,Oryza barthii,,,African wild rice; Oryza barthii A.Chev.; Oryza breviligulata; Oryza breviligulata A.Chev. & Roehr.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza barthii,Oryza,barthii,0
4558,SORBI,Sorghum bicolor,Sorghum,Sorghum vulgare,Andropogon sorghum; Andropogon sorghum (L.) Brot.; Sorghum bicolor (L.) Moench; Sorghum bicolor milo; Sorghum bicolor subsp. bicolor; Sorghum nervosum; Sorghum nervosum Besser ex Schult.; Sorghum saccharatum; Sorghum saccharatum (L.) Moench; Sorghum vulgare Pers.; Sorghum_bicolor; broomcorn; milo,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Sorghinae; Sorghum,4557.0,,Sorghum bicolor (Sorghum) (Sorghum vulgare),Sorghum,bicolor,0
131158,,Saccharum hybrid cultivar R570,,,,annotated,,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Saccharinae; Saccharum; Saccharum officinarum complex,128810.0,,Saccharum hybrid cultivar R570,Saccharum,hybrid,0
77586,,Leersia perrieri,,,Leersia perrieri (A.Camus) Launert,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Leersia,35711.0,,Leersia perrieri,Leersia,perrieri,0
4540,PANMI,Panicum miliaceum,Proso millet,Broomcorn millet,Panicum miliaceum L.; broom millet; common millet,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Panicinae; Panicum,4539.0,,Panicum miliaceum (Proso millet) (Broomcorn millet),Panicum,miliaceum,0
4577,MAIZE,Zea mays,Maize,,Zea mays L.; Zea mays mays; Zea mays var. japonica,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Tripsacinae; Zea,4575.0,,Zea mays (Maize),Zea,mays,0
112509,HORVV,Hordeum vulgare subsp. vulgare,Domesticated barley,,Hordeum sativum; Hordeum sativum Jess.; Hordeum vulgare var. nudum; Hordeum vulgare var. nudum Spenn.; Hordeum vulgare var. vulgare; two-rowed barley,reviewed,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum,4513.0,,Hordeum vulgare subsp. vulgare (Domesticated barley),Hordeum,vulgare,0
4555,SETIT,Setaria italica,Foxtail millet,Panicum italicum,Chaetochloa italica; Chaetochloa italica (L.) Scribn.; Panicum italicum L.; Setaria italica (L.) P.Beauv.; Setaria viridis subsp. italica; Setaria viridis subsp. italica (L.) Briq.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Cenchrinae; Setaria,4554.0,,Setaria italica (Foxtail millet) (Panicum italicum),Setaria,italica,0
4556,SETVI,Setaria viridis,Green bristlegrass,Setaria italica subsp. viridis,Setaria viridis (L.) P.Beauv.; Seteria viridis; setaria virid,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Cenchrinae; Setaria,4554.0,,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),Setaria,viridis,0
37682,AEGTA,Aegilops tauschii,Tausch's goatgrass,Aegilops squarrosa,"Aegilops squarrosa auct., non L., 1753; Aegilops squarrosa subsp. squarrosa; Aegilops tauschii Coss.; Aegilopsm tauschii; Patropyrum tauschii; Patropyrum tauschii (Coss.) A.Love; Patropyrum tauschii subsp. tauschii; Triticum aegilops; Triticum aegilops P.Beauv. ex Roem. & Schult.; Triticum tauschii; Triticum tauschii (Coss.) Schmalh.",reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Aegilops,4480.0,,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),Aegilops,tauschii,0
200361,AEGTS,Aegilops tauschii subsp. strangulata,Goatgrass,,Aegilops tauschii subsp. strangulata (Eig) Tzvelev,reviewed,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Aegilops,37682.0,,Aegilops tauschii subsp. strangulata (Goatgrass),Aegilops,tauschii,0
888268,,Dichanthelium oligosanthes,,,Dichanthelium oligosanthes (Schult.) Gould; Panicum oligosanthes; Panicum oligosanthes Schult.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Dichantheliinae; Dichanthelium,161620.0,,Dichanthelium oligosanthes,Dichanthelium,oligosanthes,0
4565,WHEAT,Triticum aestivum,Wheat,,"Canadian hard winter wheat; Tricum aestivum; Triticum aestivam; Triticum aestivum L.; Triticum aestivum subsp. aestivum; Triticum aestivum8; Triticum vulgare; Triticum vulgare L.; Triticum vulgare Vill., nom. illeg.; bread wheat; common wheat",reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum,4564.0,,Triticum aestivum (Wheat),Triticum,aestivum,0
4567,TRITD,Triticum turgidum subsp. durum,Durum wheat,Triticum durum,Triticum durum Desf.; Triticum durum ssp. durum; Triticum durum subsp. durum; Triticum rigidum conv. durum; Triticum rigidum ssp. durum; Triticum rigidum var. durum; Triticum turgidum Durum Group; Triticum turgidum subsp. durum (Desf.) Husn.; duri wheat,reviewed,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum,4571.0,,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),Triticum,turgidum,0
4572,TRIUA,Triticum urartu,Red wild einkorn,Crithodium urartu,Triticum urartu Tumanian ex Gandilyan,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum,4564.0,,Triticum urartu (Red wild einkorn) (Crithodium urartu),Triticum,urartu,0
71139,EUCGR,Eucalyptus grandis,Flooded gum,,Eucalyptus grandis W.Hill ex Maiden; rose gum,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Myrtales; Myrtaceae; Myrtoideae; Eucalypteae; Eucalyptus,3932.0,,Eucalyptus grandis (Flooded gum),Eucalyptus,grandis,0
472368,,Dorcoceras hygrometricum,,,Boea hygrometrica; Boea hygrometrica (Bunge) R.Br.; Dorcoceras hygrometrica; Dorcoceras hygrometricum Bunge,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Gesneriaceae; Didymocarpoideae; Trichosporeae; Loxocarpinae; Dorcoceras,1803640.0,,Dorcoceras hygrometricum,Dorcoceras,hygrometricum,0
3562,SPIOL,Spinacia oleracea,Spinach,,Spinacea oleracea; Spinacia oleracea L; Spinacia oleracea L.; Spinacia oleracea0; spinach oleracea,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Chenopodiaceae; Chenopodioideae; Anserineae; Spinacia,3561.0,,Spinacia oleracea (Spinach),Spinacia,oleracea,0
132261,,Cuscuta campestris,,,Cuscuta campestris Yunck.; field dodder,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Cuscuteae; Cuscuta; Grammica; Cuscuta sect. Cleistogrammica,1824901.0,,Cuscuta campestris,Cuscuta,campestris,0
267555,,Cuscuta australis,,,Cuscuta australis R.Br.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Cuscuteae; Cuscuta; Grammica; Cuscuta sect. Cleistogrammica,1824901.0,,Cuscuta australis,Cuscuta,australis,0
79200,,Daucus carota subsp. sativus,,,Daucus carota subsp. sativa; Daucus carota subsp. sativus (Hoffm.) Arcang.; Daucus carota var. sativus,annotated,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Apiaceae; Apioideae; Scandiceae; Daucinae; Daucus; Daucus sect. Daucus,4039.0,,Daucus carota subsp. sativus (Carrot),Daucus,carota,0
4615,ANACO,Ananas comosus,Pineapple,Ananas ananas,"Ananas comosus (L.) Merr., 1917; Ananas comosus var. comosus; Ananas lucidus; Ananas lucidus Mill., 1754",reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Bromeliaceae; Bromelioideae; Ananas,4614.0,,Ananas comosus (Pineapple) (Ananas ananas),Ananas,comosus,0
49390,COFCA,Coffea canephora,Robusta coffee,,Coffea canephora Pierre ex A.Froehner; Coffea canephora var. robusta; Coffea canephora var. robusta (L.Linden) A.Chev.; Coffea robusta; Coffea robusta L.Linden,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Rubiaceae; Ixoroideae; Gardenieae complex; Bertiereae - Coffeeae clade; Coffeeae; Coffea,13442.0,,Coffea canephora (Robusta coffee),Coffea,canephora,0
180675,SALSN,Salvia splendens,Scarlet sage,,Salvia splendens Ker Gawl.; bonfire salvia,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Nepetoideae; Mentheae; Salvia; Calosphace; core Calosphace,2026556.0,,Salvia splendens (Scarlet sage),Salvia,splendens,0
2094558,,Prunus yedoensis var. nudiflora,,,"Prunus yedoensis var. nudiflora Koehne, 1912",annotated,Varietas,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus,3759.0,,Prunus yedoensis var. nudiflora,Prunus,yedoensis,0
206008,,Panicum hallii,,,Panicum hallii Vasey,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Panicinae; Panicum; Panicum sect. Panicum,2100772.0,,Panicum hallii,Panicum,hallii,0
1504633,,Panicum hallii var. hallii,,,,annotated,Varietas,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Panicinae; Panicum; Panicum sect. Panicum,206008.0,,Panicum hallii var. hallii,Panicum,hallii,0
3871,LUPAN,Lupinus angustifolius,Narrow-leaved blue lupine,,Lupinus angustifolius L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; genistoids sensu lato; core genistoids; Genisteae; Lupinus,3869.0,,Lupinus angustifolius (Narrow-leaved blue lupine),Lupinus,angustifolius,0
3818,ARAHY,Arachis hypogaea,Peanut,,Arachis hypogaea L.; Arachis hypogea; goober; ground-nut,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; dalbergioids sensu lato; Dalbergieae; Pterocarpus clade; Arachis,3817.0,,Arachis hypogaea (Peanut),Arachis,hypogaea,0
3827,CICAR,Cicer arietinum,Chickpea,Garbanzo,Cicer arietinum L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Cicereae; Cicer,3826.0,,Cicer arietinum (Chickpea) (Garbanzo),Cicer,arietinum,0
3880,MEDTR,Medicago truncatula,Barrel medic,Medicago tribuloides,Medicago truncatula Gaertn.; Medicago_truncatula,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Trifolieae; Medicago,3877.0,,Medicago truncatula (Barrel medic) (Medicago tribuloides),Medicago,truncatula,0
157652,MUCPR,Mucuna pruriens,Velvet bean,Dolichos pruriens,Mucuna prueriens; Mucuna pruriens (L.) DC.; Mucuna sp. MR-2013; Stizolobium pruriens; Stizolobium pruriens (L.) Medik.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; indigoferoid/millettioid clade; Phaseoleae; Mucuna,40336.0,,Mucuna pruriens (Velvet bean) (Dolichos pruriens),Mucuna,pruriens,0
29760,VITVI,Vitis vinifera,Grape,,Vitis vinifera L.; Vitis vinifera subsp. vinifera; wine grape,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Viteae; Vitis,3603.0,,Vitis vinifera (Grape),Vitis,vinifera,0
