,DomainID
IRD-4,1
IRD-379,1
IRD-263,1
IRD-290,1
IRD-681,1
IRD-260,1
IRD-65,1
IRD-85,1
IRD-523,1
IRD-79,1
IRD-226,1
IRD-191,1
IRD-215,1
IRD-264,1
IRD-350,1
IRD-632,1
IRD-677,1
IRD-520,1
IRD-183,1
IRD-634,1
IRD-533,1
IRD-7,1
IRD-482,1
IRD-629,1
IRD-2,1
IRD-249,1
IRD-323,1
IRD-343,1
IRD-439,1
IRD-115,1
IRD-614,1
IRD-135,1
IRD-392,1
IRD-225,1
IRD-87,1
IRD-431,1
IRD-517,1
IRD-48,1
IRD-318,1
IRD-458,1
IRD-627,1
IRD-463,1
IRD-64,1
IRD-613,1
IRD-102,1
IRD-530,1
IRD-140,1
IRD-479,1
IRD-557,1
IRD-44,1
IRD-244,1
IRD-130,1
IRD-433,1
IRD-514,1
IRD-238,1
IRD-481,1
IRD-22,1
IRD-588,1
IRD-434,1
IRD-29,1
IRD-662,1
IRD-525,1
IRD-224,1
IRD-276,1
IRD-587,1
IRD-546,1
IRD-177,1
IRD-394,1
IRD-112,1
IRD-36,1
IRD-649,1
IRD-648,1
IRD-438,1
IRD-214,1
IRD-125,1
IRD-508,1
IRD-381,1
IRD-386,1
IRD-567,1
IRD-69,1
IRD-527,1
IRD-197,1
IRD-227,1
IRD-469,1
IRD-660,1
IRD-426,1
IRD-340,1
IRD-81,1
IRD-313,1
IRD-570,1
IRD-119,1
IRD-694,1
IRD-322,1
IRD-250,1
IRD-628,1
IRD-599,1
IRD-230,1
IRD-654,1
IRD-676,1
IRD-548,1
IRD-393,1
IRD-27,1
IRD-113,1
IRD-453,1
IRD-92,1
IRD-279,1
IRD-54,1
IRD-68,1
IRD-308,1
IRD-223,1
IRD-487,1
IRD-270,1
IRD-47,1
IRD-11,1
IRD-147,1
IRD-498,1
IRD-127,1
IRD-53,1
IRD-252,1
IRD-295,1
IRD-575,1
IRD-566,1
IRD-95,1
IRD-601,1
IRD-312,1
IRD-319,1
IRD-138,1
IRD-424,1
IRD-365,1
IRD-306,1
IRD-678,1
IRD-146,1
IRD-673,1
IRD-605,1
IRD-31,1
IRD-38,1
IRD-447,1
IRD-262,1
IRD-584,1
IRD-684,1
IRD-126,1
IRD-416,1
IRD-139,1
IRD-493,1
IRD-212,1
IRD-259,1
IRD-509,1
IRD-399,1
IRD-683,1
IRD-110,1
IRD-445,1
IRD-202,1
IRD-180,1
IRD-450,1
IRD-34,1
IRD-243,1
IRD-555,1
IRD-543,1
IRD-675,1
IRD-256,1
IRD-59,1
IRD-582,1
IRD-422,1
IRD-182,1
IRD-309,1
IRD-515,1
IRD-144,1
IRD-16,1
IRD-462,1
IRD-167,1
IRD-623,1
IRD-242,1
IRD-280,1
IRD-8,1
IRD-39,1
IRD-284,1
IRD-578,1
IRD-291,1
IRD-512,1
IRD-556,1
IRD-5,1
IRD-293,1
IRD-181,1
IRD-216,1
IRD-269,1
IRD-688,1
IRD-124,1
IRD-502,1
IRD-569,1
IRD-693,1
IRD-461,1
IRD-131,1
IRD-148,1
IRD-425,1
IRD-335,1
IRD-201,1
IRD-409,1
IRD-219,1
IRD-66,1
IRD-513,1
IRD-691,1
IRD-109,1
IRD-373,1
IRD-395,1
IRD-277,1
IRD-650,1
IRD-368,1
IRD-193,1
IRD-49,1
IRD-101,1
IRD-457,1
IRD-441,1
IRD-205,1
IRD-221,1
IRD-60,1
IRD-303,1
IRD-657,1
IRD-471,1
IRD-641,1
IRD-404,1
IRD-188,1
IRD-630,1
IRD-583,1
IRD-664,1
IRD-30,1
IRD-334,1
IRD-668,1
IRD-141,1
IRD-446,1
IRD-646,1
IRD-490,1
IRD-492,1
IRD-175,1
IRD-402,1
IRD-484,1
IRD-414,1
IRD-685,1
IRD-327,1
IRD-283,1
IRD-403,1
IRD-96,1
IRD-511,1
IRD-261,1
IRD-563,1
IRD-448,1
IRD-296,1
IRD-510,1
IRD-145,1
IRD-142,1
IRD-117,1
IRD-362,1
IRD-114,1
IRD-504,1
IRD-170,1
IRD-35,1
IRD-652,1
IRD-366,1
IRD-208,1
IRD-195,1
IRD-602,1
IRD-174,1
IRD-507,1
IRD-298,1
IRD-671,1
IRD-429,1
IRD-198,1
IRD-173,1
IRD-267,1
IRD-663,1
IRD-200,1
IRD-321,1
IRD-300,1
IRD-421,1
IRD-594,1
IRD-245,1
IRD-415,1
IRD-42,1
IRD-204,1
IRD-420,1
IRD-674,1
IRD-105,1
IRD-565,1
IRD-375,1
IRD-332,1
IRD-151,1
IRD-107,1
IRD-473,1
IRD-266,1
IRD-643,1
IRD-100,1
IRD-251,1
