Species,Cysteine Count,Number of Occurrences
Solanum nigrum ,23,1
Solanum phureja,16,1
Solanum tuberosum ,16,21
Solanum tuberosum ,14,9
Solanum tuberosum ,8,8
Solanum tuberosum ,24,4
Solanum tuberosum ,9,3
Solanum tuberosum ,13,2
Solanum tuberosum ,7,1
Solanum tuberosum ,15,1
Solanum tuberosum ,17,1
Solanum tuberosum ,18,1
Solanum tuberosum ,25,1
Sorghum bicolor ,9,2
Sorghum bicolor ,10,1
Spinacia oleracea ,8,1
Trema orientale ,8,1
Triticum aestivum ,9,2
Triticum aestivum ,11,1
Triticum turgidum subsp. durum ,9,1
Triticum urartu ,9,1
Vitis vinifera ,8,2
Vitis vinifera ,9,1
Zea mays ,9,2
