Amino Acid,Average Percentage
A,5.69604248
C,15.42956191
D,4.967126916
E,4.525737237
F,3.207083266
G,9.611347812
H,0.596468903
I,4.962364786
K,6.973658962
L,2.842370783
M,0.624146892
N,6.80480036
O,0
P,6.759427591
Q,1.282522458
R,5.344434684
S,6.120220291
T,6.324468897
U,0
V,2.413247905
W,0.04363898
X,0.005510249
Y,5.465818633
Z,0
